,Title,additional_info,Price
97,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895 KSh"
98,Alto Rouge,"Since 1922, when it was first produced on…","2,895 KSh"
99,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495 KSh"
100,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495 KSh"
101,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695 KSh"
102,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395 KSh"
103,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595 KSh"
104,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895 KSh"
105,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895 KSh"
106,Alto Rouge,"Since 1922, when it was first produced on…","2,895 KSh"
107,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495 KSh"
108,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495 KSh"
109,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695 KSh"
110,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395 KSh"
111,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595 KSh"
